"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"R23";"2.2K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402FR-072K2L";"";"";"";"";"";"";"";
"R24";"1M";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402FR-071ML";"";"";"";"";"";"";"";
"R25";"100";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402FR-07100RL";"";"";"";"";"";"";"";
"R26";"10K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";
"R27";"1K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-071KL";"";"";"";"";"";"";"";
"R28";"10K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";
"R29";"10K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";
"R30";"10K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0710KL";"";"";"";"";"";"";"";
"R31";"22K";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402JR-0722KL";"";"";"";"";"";"";"";
"R32";"100";"MICROBUILDER_RESISTOR_0402MP";"MICROBUILDER__0402MP";"Resistors";"";"";"";"";"RC0402FR-07100RL";"";"";"";"";"";"";"";
"RX";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"LG R971-KN-1";"unknown";"";"";"";"";"";"";
"S1";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM";"TACTILE_SWITCH_SMD_6.0X3.5MM";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"RS-032G05A3-SM RT";"";"";"";"SWCH-00815";"";"COM-08229";"";
"TC1";"TC2030-IDC-NL";"TC2030-IDC-NL";"TC2030-IDC-NL";"Tag-Connect In Circuit Programming & Debug Cable 6 Pin";"";"";"";"";"";"";"";"";"";"";"";"";
"TX";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"LG R971-KN-1";"unknown";"";"";"";"";"";"";
"U$1";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";
"U$2";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"0878980426";"0878980426";"CONN_4POS_VERT_2.54_SMD";"CONN HEADER 4POS VERT 2.54MM SMD";"";"";"";"";"0878980426";"";"";"";"";"";"";"";
"U$5";"0878980426";"0878980426";"CONN_4POS_VERT_2.54_SMD";"CONN HEADER 4POS VERT 2.54MM SMD";"";"";"";"";"0878980426";"";"";"";"";"";"";"";
